nombre,descripcion,fecha_inicio,fecha_fin,estado,presupuesto
Construcción de puente,Construcción de un nuevo puente sobre el río,2023-01-01,2023-12-31,planificado,1000000
Renovación de parque,Renovación del parque central de la ciudad,2023-03-01,2023-09-30,en curso,250000
Construcción de escuela,Construcción de una nueva escuela primaria,2023-05-01,2024-04-30,planificado,500000
Reparación de carretera,Reparación de la carretera principal,2023-02-01,2023-08-31,completado,150000
Construcción de hospital,Construcción de un nuevo hospital,2023-06-01,2024-12-31,planificado,2000000
Ampliación de aeropuerto,Ampliación de la terminal principal,2023-04-01,2023-10-31,en curso,300000
Rehabilitación de puente,Rehabilitación de un puente antiguo,2023-07-01,2023-11-30,planificado,120000
Construcción de biblioteca,Construcción de una nueva biblioteca pública,2023-05-01,2024-05-31,planificado,400000
Renovación de edificio gubernamental,Renovación de un edificio gubernamental,2023-03-01,2023-09-30,en curso,600000
Instalación de alumbrado público,Instalación de nuevas luminarias en la ciudad,2023-02-01,2023-08-31,completado,80000
Construcción de estación de bomberos,Construcción de una nueva estación de bomberos,2023-06-01,2024-12-31,planificado,900000
Ampliación de red de transporte público,Ampliación de la red de autobuses,2023-04-01,2023-10-31,en curso,200000
Reparación de red de alcantarillado,Reparación de la red de alcantarillado de la ciudad,2023-07-01,2023-11-30,planificado,50000
Construcción de centro comunitario,Construcción de un nuevo centro comunitario,2023-05-01,2024-05-31,planificado,250000
Renovación de museo,Renovación del museo de historia,2023-03-01,2023-09-30,en curso,350000
Construcción de parque infantil,Construcción de un nuevo parque infantil,2023-01-01,2023-06-30,planificado,100000
Rehabilitación de carretera,Rehabilitación de una carretera secundaria,2023-07-01,2023-11-30,planificado,70000
Construcción de polideportivo,Construcción de un nuevo polideportivo,2023-05-01,2024-04-30,planificado,800000
Renovación de plaza pública,Renovación de la plaza principal de la ciudad,2023-02-01,2023-08-31,completado,150000
Instalación de cámaras de seguridad,Instalación de cámaras de seguridad en zonas críticas,2023-03-01,2023-09-30,en curso,100000
